,Speculum Type,Spec Ang,Spec Ht,Size,Material,Material Type,Method,mmHg,wd,wd,wd,wd,wd,wd,wd,ht,ht,ht,ht,ht,ht,ht,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,Vertical Height,Vertical Height,Vertical Height,Vertical Height,Vertical Height,Vertical Height,Vertical Height
,,,,,,,,,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero
9,White,3,0,None,None,None,None,120,23.333333333333332,11.46492234794656,19.85782801147531,1.0,30.0,39.0,3,337.0,3.0550504633038935,5.291502622129181,333.0,335.0,343.0,3,0.9190260765420001,0.03890368674043798,0.0673831620361822,0.8757961783439491,0.8846153846153846,0.9966666666666667,3,-0.5014865664641772,0.5896607104028098,1.0213223096448245,-1.6796875,0.0431034482758621,0.13212435233160624,3,4.1,0.0,0.0,4.1,4.1,4.1,3
10,White,3,0,None,None,None,None,160,13.666666666666666,6.359594676112971,11.015141094572204,1.0,19.0,21.0,3,309.6666666666667,1.7638342073763937,3.0550504633038997,307.0,309.0,313.0,3,0.9522369208993413,0.02228680740965125,0.038601882772018474,0.926923076923077,0.9331210191082803,0.9966666666666667,3,-0.3761934406825085,0.5352273958756584,0.9270410432594212,-1.4453125,0.11206896551724133,0.2046632124352331,3,4.1,0.0,0.0,4.1,4.1,4.1,3
11,White,3,0,None,None,None,None,200,4.666666666666667,2.3333333333333335,4.041451884327381,1.0,4.0,9.0,3,285.0,6.8068592855540455,11.789826122551595,272.0,288.0,295.0,3,0.9842065436332952,0.007314734579219944,0.012669491935089896,0.9713375796178344,0.9846153846153847,0.9966666666666667,3,-0.27897897311059494,0.5140804094828161,0.8904133884000506,-1.3046875,0.1724137931034483,0.2953367875647669,3,4.1,0.0,0.0,4.1,4.1,4.1,3
12,White,3,0,Unspecified,Durex,Condom,Precut,0,248.66666666666666,5.2068331172711035,9.018499505645785,240.0,248.0,258.0,3,314.3333333333333,25.621171800767517,44.377171308380326,267.0,321.0,355.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.5666666666666664,0.016666666666666757,0.028867513459481506,3.55,3.55,3.6,3
13,White,3,0,Unspecified,Durex,Condom,Precut,40,103.0,3.7859388972001824,6.557438524302,96.0,104.0,109.0,3,322.6666666666667,18.550232103968703,32.1299444962691,298.0,311.0,359.0,3,0.5856964241060265,0.013959499631759412,0.024178562610446333,0.5666666666666667,0.5775193798449613,0.6129032258064516,3,-0.03207327552419422,0.04376395394524565,0.07580139177326987,-0.11610486891385774,-0.011267605633802802,0.031152647975077885,3,3.5666666666666664,0.016666666666666757,0.028867513459481506,3.55,3.55,3.6,3
14,White,3,0,Unspecified,Durex,Condom,Precut,80,46.666666666666664,6.839428176227731,11.846237095944574,33.0,53.0,54.0,3,295.3333333333333,19.96942106766688,34.588051886935375,265.0,288.0,333.0,3,0.8111277819454864,0.03065636601650415,0.053098383516013134,0.775,0.7862903225806451,0.872093023255814,3,0.05742206866926414,0.027608405046630254,0.047819160256704595,0.0074906367041198685,0.06197183098591552,0.10280373831775702,3,3.5666666666666664,0.016666666666666757,0.028867513459481506,3.55,3.55,3.6,3
15,White,3,0,Unspecified,Durex,Condom,Precut,120,22.333333333333332,8.212456663169947,14.224392195567912,6.0,29.0,32.0,3,270.0,21.548395145191982,37.322915213043046,238.0,261.0,311.0,3,0.908959531549554,0.033974868803479,0.058846198948112494,0.8709677419354839,0.8791666666666667,0.9767441860465116,3,0.1398245940106787,0.02395788193780021,0.04149626875800667,0.10861423220973787,0.12394366197183093,0.1869158878504673,3,3.5666666666666664,0.016666666666666757,0.028867513459481506,3.55,3.55,3.6,3
16,White,3,0,Unspecified,Durex,Condom,Precut,160,7.666666666666667,2.6034165586355518,4.509249752822894,3.0,8.0,12.0,3,242.66666666666666,23.694818936730545,41.040630274562474,206.0,235.0,287.0,3,0.9688838876385764,0.01066921678271859,0.018479625544635156,0.9516129032258065,0.9666666666666667,0.9883720930232558,3,0.2293088292786577,0.022048279740933888,0.03818874073078905,0.19154929577464785,0.22846441947565543,0.2679127725856698,3,3.5666666666666664,0.016666666666666757,0.028867513459481506,3.55,3.55,3.6,3
17,White,3,0,Unspecified,Durex,Condom,Precut,200,3.0,1.1547005383792517,2.0,1.0,3.0,5.0,3,221.66666666666666,25.783284852356925,44.65795935030321,184.0,210.0,271.0,3,0.9880147120113362,0.004620706560846196,0.008003298530252466,0.9798387096774194,0.9883720930232558,0.9958333333333333,3,0.29775851135139914,0.03218976077887003,0.05575430115249079,0.23661971830985917,0.31086142322097376,0.3457943925233645,3,3.5666666666666664,0.016666666666666757,0.028867513459481506,3.55,3.55,3.6,3
18,White,3,0,Unspecified,Lifestyle,Condom,Precut,0,239.33333333333334,3.844187531556932,6.658328118479394,235.0,236.0,247.0,3,308.6666666666667,21.682045823932555,37.55440497908778,270.0,311.0,345.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.6333333333333333,0.016666666666666607,0.028867513459481187,3.6,3.65,3.65,3
19,White,3,0,Unspecified,Lifestyle,Condom,Precut,40,82.66666666666667,12.115187896924166,20.984120980716188,59.0,90.0,99.0,3,351.3333333333333,9.701088140570166,16.802777548171413,333.0,355.0,366.0,3,0.6555901738033952,0.047009639848557494,0.08142308466321606,0.5991902834008097,0.6186440677966102,0.7489361702127659,3,-0.1517602042137202,0.10260808762733736,0.1777224210380278,-0.3555555555555556,-0.07073954983922826,-0.02898550724637672,3,3.6333333333333333,0.016666666666666607,0.028867513459481187,3.6,3.65,3.65,3
20,White,3,0,Unspecified,Lifestyle,Condom,Precut,80,28.0,12.583057392117917,21.79449471770337,3.0,38.0,43.0,3,320.6666666666667,14.836142056178591,25.696951829610708,291.0,335.0,336.0,3,0.8840426748582461,0.051733496090553,0.08960504368200368,0.8259109311740891,0.8389830508474576,0.9872340425531915,3,-0.05011503418232529,0.09594937044962366,0.16618918457299603,-0.2407407407407407,0.02608695652173909,0.06430868167202575,3,3.6333333333333333,0.016666666666666607,0.028867513459481187,3.6,3.65,3.65,3
21,White,3,0,Unspecified,Lifestyle,Condom,Precut,120,14.666666666666666,6.839428176227731,11.846237095944574,1.0,21.0,22.0,3,297.0,11.150485789118488,19.313207915827967,276.0,301.0,314.0,3,0.9391680329843445,0.028387193161456183,0.049168060839913895,0.9067796610169492,0.9149797570850202,0.9957446808510638,3,0.02570448728237999,0.09443300161607839,0.16356275671028164,-0.16296296296296298,0.112540192926045,0.12753623188405794,3,3.6333333333333333,0.016666666666666607,0.028867513459481187,3.6,3.65,3.65,3
22,White,3,0,Unspecified,Lifestyle,Condom,Precut,160,4.0,1.7320508075688774,3.0,1.0,4.0,7.0,3,273.0,9.643650760992957,16.703293088490067,258.0,270.0,291.0,3,0.9834851491123437,0.006956062139357307,0.012048253045973114,0.97165991902834,0.9830508474576272,0.9957446808510638,3,0.10334384433363882,0.09157038126763825,0.15860455282400282,-0.07777777777777772,0.17041800643086813,0.21739130434782605,3,3.6333333333333333,0.016666666666666607,0.028867513459481187,3.6,3.65,3.65,3
23,White,3,0,Unspecified,Lifestyle,Condom,Precut,200,1.0,0.0,0.0,1.0,1.0,1.0,3,254.66666666666666,11.89304184994085,20.5993527406405,233.0,257.0,274.0,3,0.9958196032398398,6.611210349781738e-05,0.00011450952225347869,0.9957446808510638,0.9957627118644068,0.9959514170040485,3,0.16368716915806716,0.0892594980181949,0.15460198562560706,-0.014814814814814836,0.25080385852090037,0.255072463768116,3,3.6333333333333333,0.016666666666666607,0.028867513459481187,3.6,3.65,3.65,3
24,White,3,0,Unspecified,Skyn,Condom,Precut,0,252.66666666666666,7.688375063113865,13.316656236958787,238.0,256.0,264.0,3,329.3333333333333,7.125852775477316,12.34233905438241,319.0,326.0,343.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.6666666666666665,0.04409585518440983,0.07637626158259737,3.6,3.65,3.75,3
25,White,3,0,Unspecified,Skyn,Condom,Precut,40,109.33333333333333,34.338187359135766,59.47548514584251,74.0,76.0,178.0,3,343.6666666666667,9.527737285304301,16.502525059315424,330.0,339.0,362.0,3,0.5686281141244377,0.1321378832245702,0.22886952734955884,0.3046875,0.6890756302521008,0.7121212121212122,3,-0.04345314980700935,0.01573346254929966,0.027251156514369164,-0.06269592476489039,-0.055393586005831,-0.012269938650306678,3,3.6666666666666665,0.04409585518440983,0.07637626158259737,3.6,3.65,3.75,3
26,White,3,0,Unspecified,Skyn,Condom,Precut,80,43.333333333333336,21.457969252574777,37.16629297271028,18.0,26.0,86.0,3,311.6666666666667,4.666666666666667,8.08290376865476,303.0,313.0,319.0,3,0.8288789947797301,0.08325638553380656,0.14420428979909544,0.6640625,0.8907563025210083,0.9318181818181819,3,0.053334961968819594,0.008831405753197769,0.015296443466794624,0.039877300613496924,0.050156739811912265,0.06997084548104959,3,3.6666666666666665,0.04409585518440983,0.07637626158259737,3.6,3.65,3.75,3
27,White,3,0,Unspecified,Skyn,Condom,Precut,120,16.0,13.051181300301261,22.60530911091463,1.0,5.0,42.0,3,295.6666666666667,4.176654695380556,7.23417813807024,291.0,292.0,304.0,3,0.9370470726169255,0.05079860848727171,0.08798577085375418,0.8359375,0.9789915966386554,0.9962121212121212,3,0.10102398447036072,0.02951907072402949,0.05112853028623808,0.047021943573667735,0.1073619631901841,0.14868804664723034,3,3.6666666666666665,0.04409585518440983,0.07637626158259737,3.6,3.65,3.75,3
28,White,3,0,Unspecified,Skyn,Condom,Precut,160,4.333333333333333,2.8480012484391772,4.932882862316247,1.0,2.0,10.0,3,280.0,9.71253485622231,16.822603841260722,267.0,274.0,299.0,3,0.9829154199558611,0.011069438317538753,0.019172829577226828,0.9609375,0.9915966386554622,0.9962121212121212,3,0.14792649041406722,0.046228445212028,0.0800700158621467,0.06269592476489028,0.1595092024539877,0.22157434402332365,3,3.6666666666666665,0.04409585518440983,0.07637626158259737,3.6,3.65,3.75,3
29,White,3,0,Unspecified,Skyn,Condom,Precut,200,1.6666666666666667,0.6666666666666667,1.1547005383792517,1.0,1.0,3.0,3,262.3333333333333,12.914247085207013,22.36813209307682,247.0,252.0,288.0,3,0.9932336097317714,0.0029195258528766925,0.005056767111193338,0.9873949579831933,0.99609375,0.9962121212121212,3,0.20135197678015102,0.05427823855472566,0.09401266692212874,0.09717868338557989,0.22699386503067487,0.27988338192419826,3,3.6666666666666665,0.04409585518440983,0.07637626158259737,3.6,3.65,3.75,3
30,White,3,0,Unspecified,Trojan,Condom,Precut,0,243.66666666666666,7.881060278357926,13.650396819628849,228.0,250.0,253.0,3,304.0,34.443189941312546,59.65735495309862,242.0,309.0,361.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.6,0.05000000000000012,0.0866025403784441,3.55,3.55,3.7,3
31,White,3,0,Unspecified,Trojan,Condom,Precut,40,71.33333333333333,9.26162932629987,16.041612554021285,56.0,70.0,88.0,3,334.3333333333333,20.0194350014624,34.674678561355606,306.0,324.0,373.0,3,0.7085687076716826,0.03158426480567398,0.05470555136313689,0.648,0.7233201581027668,0.7543859649122807,3,-0.12079174485748356,0.10972833761725277,0.19005505578315307,-0.33884297520661155,-0.0332409972299168,0.009708737864077666,3,3.6,0.05000000000000012,0.0866025403784441,3.55,3.55,3.7,3
32,White,3,0,Unspecified,Trojan,Condom,Precut,80,32.333333333333336,10.989894347889692,19.03505538035898,14.0,31.0,52.0,3,305.6666666666667,18.550232103968703,32.1299444962691,281.0,294.0,342.0,3,0.8693556156530985,0.0425128198899935,0.07363436402249349,0.792,0.8774703557312253,0.9385964912280702,3,-0.02387652245969703,0.09612716006087069,0.16649712521273383,-0.2148760330578512,0.052631578947368474,0.09061488673139162,3,3.6,0.05000000000000012,0.0866025403784441,3.55,3.55,3.7,3
33,White,3,0,Unspecified,Trojan,Condom,Precut,120,12.666666666666666,6.173419725817378,10.692676621563626,6.0,7.0,25.0,3,283.0,17.15614564327703,29.715315916207253,262.0,270.0,317.0,3,0.9485276101980907,0.024347477268965106,0.04217106766597593,0.9,0.9692982456140351,0.9762845849802372,3,0.052761579013800776,0.08468257368405674,0.14667452013648138,-0.11570247933884303,0.12188365650969524,0.15210355987055013,3,3.6,0.05000000000000012,0.0866025403784441,3.55,3.55,3.7,3
34,White,3,0,Unspecified,Trojan,Condom,Precut,160,3.3333333333333335,2.3333333333333335,4.041451884327381,1.0,1.0,8.0,3,293.6666666666667,26.034165586355513,45.09249752822894,247.0,297.0,337.0,3,0.9865538219725862,0.009277754583054834,0.016069542318006017,0.968,0.9956140350877193,0.9960474308300395,3,-0.004876471906859692,0.19396003614001817,0.3359486372324071,-0.3925619834710743,0.17728531855955676,0.20064724919093846,3,3.6,0.05000000000000012,0.0866025403784441,3.55,3.55,3.7,3
35,White,3,0,Unspecified,Trojan,Condom,Precut,200,1.3333333333333333,0.3333333333333333,0.5773502691896257,1.0,1.0,2.0,3,248.33333333333334,33.0974990663108,57.326549986313786,184.0,267.0,294.0,3,0.9945538219725862,0.0012830254567640375,0.00222226527851962,0.992,0.9956140350877193,0.9960474308300395,3,0.18286697414744688,0.06742742161666997,0.11678772006344038,0.04854368932038833,0.23966942148760328,0.260387811634349,3,3.6,0.05000000000000012,0.0866025403784441,3.55,3.55,3.7,3
36,White,5,0,L,Nitrile,Glove,Middle,0,269.6666666666667,2.6034165586355518,4.509249752822893,265.0,270.0,274.0,3,252.0,6.506407098647712,11.269427669584644,245.0,246.0,265.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1333333333333333,0.06666666666666674,0.11547005383792529,3.0,3.2,3.2,3
37,White,5,0,L,Nitrile,Glove,Middle,40,199.33333333333334,18.414969755910843,31.895663237081827,164.0,208.0,226.0,3,233.33333333333334,10.349449797506685,17.925772879665004,222.0,224.0,254.0,3,0.2616569836144734,0.06383136664565213,0.11055917014682685,0.16296296296296298,0.24087591240875916,0.38113207547169814,3,0.07492823176210199,0.017055771751909428,0.029541463236605166,0.04150943396226414,0.08571428571428574,0.09756097560975607,3,3.1333333333333333,0.06666666666666674,0.11547005383792529,3.0,3.2,3.2,3
38,White,5,0,L,Nitrile,Glove,Middle,80,143.66666666666666,19.877402021167434,34.42867022313429,105.0,155.0,171.0,3,207.0,11.503622617824933,19.924858845171276,195.0,196.0,230.0,3,0.4682489403051309,0.07051946794820337,0.12214330140901322,0.3666666666666667,0.43430656934306566,0.6037735849056604,3,0.1797975149562816,0.02395433119846551,0.041490118697074536,0.13207547169811318,0.19999999999999996,0.20731707317073167,3,3.1333333333333333,0.06666666666666674,0.11547005383792529,3.0,3.2,3.2,3
39,White,5,0,L,Nitrile,Glove,Middle,120,108.66666666666667,19.641226483541647,34.01960219246153,70.0,122.0,134.0,3,183.0,12.013880860626735,20.808652046684813,170.0,172.0,207.0,3,0.5980990952849742,0.07043337337777501,0.12199418123877544,0.5037037037037038,0.5547445255474452,0.7358490566037736,3,0.27525673254422184,0.028372138907234404,0.04914198610673171,0.21886792452830184,0.2979591836734694,0.3089430894308943,3,3.1333333333333333,0.06666666666666674,0.11547005383792529,3.0,3.2,3.2,3
40,White,5,0,L,Nitrile,Glove,Middle,160,83.0,18.23001188516709,31.575306807693888,47.0,96.0,106.0,3,162.66666666666666,13.715360407627323,23.75570107012911,147.0,151.0,190.0,3,0.6932279844459067,0.06584499095601708,0.1140468697597348,0.6074074074074074,0.6496350364963503,0.8226415094339623,3,0.3563771205675092,0.03707699842562505,0.06421924506533386,0.28301886792452835,0.38367346938775515,0.4024390243902439,3,3.1333333333333333,0.06666666666666674,0.11547005383792529,3.0,3.2,3.2,3
41,White,5,0,L,Nitrile,Glove,Middle,200,65.66666666666667,17.246577760368705,29.871948937646053,32.0,76.0,89.0,3,142.33333333333334,12.346839451634757,21.385353243127255,129.0,131.0,167.0,3,0.7574144635385052,0.06275552971417674,0.10869576592085252,0.6703703703703704,0.7226277372262774,0.879245283018868,3,0.43690906643375255,0.03368046824198184,0.05833628221782257,0.369811320754717,0.4653061224489796,0.47560975609756095,3,3.1333333333333333,0.06666666666666674,0.11547005383792529,3.0,3.2,3.2,3
42,White,5,0,M,Nitrile,Glove,Middle,0,253.66666666666666,14.529663145135581,25.166114784235827,227.0,257.0,277.0,3,242.0,11.269427669584646,19.519221295943137,222.0,243.0,261.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
43,White,5,0,M,Nitrile,Glove,Middle,40,199.0,5.8594652770823155,10.14889156509222,190.0,197.0,210.0,3,225.66666666666666,34.143488072805006,59.13825608972024,169.0,221.0,287.0,3,0.21157874524370598,0.04008012117183655,0.06942080624313794,0.13215859030837007,0.24187725631768953,0.2607003891050583,3,0.07655228664168641,0.09792474027601586,0.16961062547604583,-0.09961685823754785,0.09053497942386834,0.23873873873873874,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
44,White,5,0,M,Nitrile,Glove,Middle,80,133.33333333333334,7.512951779723097,13.012814197295423,120.0,134.0,146.0,3,201.33333333333334,26.964997888208913,46.70474636836533,160.0,192.0,252.0,3,0.47189658254755606,0.035621107824534065,0.06169756857398229,0.4096916299559471,0.4729241877256317,0.5330739299610895,3,0.17454619370328184,0.07284117271807075,0.1261646120305985,0.03448275862068961,0.2098765432098766,0.2792792792792793,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
45,White,5,0,M,Nitrile,Glove,Middle,120,96.0,10.263202878893768,17.776388834631177,82.0,90.0,116.0,3,217.33333333333334,25.98290035987344,45.00370355130046,166.0,236.0,250.0,3,0.6232664680392368,0.02125970045330115,0.036822881338812695,0.5812274368231047,0.6387665198237886,0.6498054474708171,3,0.10773481016137465,0.07236124790482017,0.1253333578702355,0.028806584362139898,0.04214559386973182,0.25225225225225223,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
46,White,5,0,M,Nitrile,Glove,Middle,160,69.66666666666667,7.31057073315377,12.662279942148388,60.0,65.0,84.0,3,220.33333333333334,70.39255011086834,121.92347326636218,145.0,155.0,361.0,3,0.7265051446575308,0.015236686889928207,0.02639071583237429,0.6967509025270758,0.7356828193832599,0.7470817120622568,3,0.10731740680655118,0.24697349507144728,0.4277706415866084,-0.3831417624521072,0.30180180180180183,0.4032921810699589,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
47,White,5,0,M,Nitrile,Glove,Middle,200,55.666666666666664,6.641619615057092,11.503622617824933,44.0,56.0,67.0,3,132.33333333333334,5.783117190965824,10.016652800877813,121.0,136.0,140.0,3,0.7800734942530285,0.02439982530583565,0.042261737125512115,0.7533039647577092,0.7581227436823105,0.8287937743190661,3,0.45101551104105386,0.03369530691147416,0.05836198354729999,0.3873873873873874,0.46360153256704983,0.5020576131687242,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
48,White,5,0,M,Nitrile,Glove,Two,0,216.66666666666666,32.35909626536426,56.047598818623214,154.0,234.0,262.0,3,303.0,11.590225767142474,20.074859899884732,280.0,312.0,317.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.1000000000000005,0.05773502691896263,0.10000000000000053,5.0,5.1,5.2,3
49,White,5,0,M,Nitrile,Glove,Two,40,111.33333333333333,24.099331479893337,41.74126655161932,65.0,123.0,146.0,3,297.3333333333333,8.666666666666668,15.011106998930261,280.0,306.0,306.0,3,0.4983430479613686,0.04082249577650276,0.07070663677666868,0.4427480916030534,0.47435897435897434,0.577922077922078,3,0.017977028229394176,0.010036713822842202,0.01738409828219155,0.0,0.019230769230769273,0.034700315457413256,2,5.1000000000000005,0.05773502691896263,0.10000000000000053,5.0,5.1,5.2,3
50,White,5,0,M,Nitrile,Glove,Two,80,59.333333333333336,16.17954813268213,28.0237994093116,28.0,68.0,82.0,3,274.3333333333333,12.01850425154663,20.81665999466132,251.0,281.0,291.0,3,0.7382021427822955,0.040508287739579665,0.07016241249257142,0.6870229007633588,0.7094017094017093,0.8181818181818181,3,0.09481459654961229,0.014052740517372223,0.024340060561670443,0.06730769230769229,0.10357142857142854,0.11356466876971605,3,5.1000000000000005,0.05773502691896263,0.10000000000000053,5.0,5.1,5.2,3
51,White,5,0,M,Nitrile,Glove,Two,120,30.666666666666668,13.383239933256487,23.18045153428495,6.0,34.0,52.0,3,252.0,12.096831541082704,20.952326839756964,229.0,257.0,270.0,3,0.8724221777656892,0.046891978430993186,0.08121928910990413,0.8015267175572519,0.8547008547008547,0.961038961038961,3,0.16867756323592287,0.017155066366737803,0.029713446554405894,0.13461538461538458,0.18214285714285716,0.18927444794952686,3,5.1000000000000005,0.05773502691896263,0.10000000000000053,5.0,5.1,5.2,3
52,White,5,0,M,Nitrile,Glove,Two,160,15.0,7.810249675906655,13.527749258468683,1.0,16.0,28.0,3,235.0,11.718930554164631,20.29778313018444,213.0,239.0,253.0,3,0.9394200653742639,0.02923728431164176,0.05064046190309998,0.8931297709923665,0.9316239316239316,0.9935064935064936,3,0.22481502024088776,0.017962892150242223,0.03111264185509969,0.1891025641025641,0.23928571428571432,0.24605678233438488,3,5.1000000000000005,0.05773502691896263,0.10000000000000053,5.0,5.1,5.2,3
53,White,5,0,M,Nitrile,Glove,Two,200,4.666666666666667,3.2829526005987018,5.686240703077327,0.0,3.0,11.0,2,220.0,11.150485789118488,19.313207915827967,199.0,224.0,237.0,3,0.9817315847850199,0.01242228076159087,0.021516021424960778,0.9580152671755725,0.9871794871794872,1.0,3,0.27434857466403206,0.017022967506183376,0.029484644616303672,0.24038461538461542,0.28928571428571426,0.2933753943217665,3,5.1000000000000005,0.05773502691896263,0.10000000000000053,5.0,5.1,5.2,3
54,White,5,0,None,None,None,None,0,260.0,,,260.0,260.0,260.0,1,386.0,,,386.0,386.0,386.0,1,0.0,,,0.0,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0,5.4,,,5.4,5.4,5.4,1
55,White,5,0,S,Nitrile,Glove,Middle,0,305.3333333333333,19.64122648354165,34.01960219246153,280.0,292.0,344.0,3,201.66666666666666,26.822461565718466,46.457866215887854,150.0,215.0,240.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.733333333333333,0.016666666666666607,0.028867513459481187,2.7,2.75,2.75,3
