Day Ct,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Size,Brand,Material,Material Type,Method,Hand,Spec Ang,Spec Ht,Opening Distance,wd_rel.0,wd_rel.20,wd_rel.40,wd_rel.60,wd_rel.80,wd_rel.120,wd_rel.160,wd_rel.200,ht_rel.0,ht_rel.20,ht_rel.40,ht_rel.60,ht_rel.80,ht_rel.120,ht_rel.160,ht_rel.200
1,8,18,2,White,M,STRONG-Black,Nitrile,Glove,Two,A,5,0,5.1,0.0,,0.577922077922078,,0.8181818181818181,0.961038961038961,0.9935064935064936,1.0,0.0,,0.034700315457413256,,0.11356466876971605,0.18927444794952686,0.24605678233438488,0.2933753943217665
1,8,21,3,White,M,STRONG-Black,Nitrile,Glove,Two,A,5,0,5.0,0.0,,0.4427480916030534,,0.6870229007633588,0.8015267175572519,0.8931297709923665,0.9580152671755725,0.0,,0.0,,0.10357142857142854,0.18214285714285716,0.23928571428571432,0.28928571428571426
1,11,22,1,White,Unspecified,Trojan,Latex,Condom,Precut,,3,0,3.7,0.0,,0.648,,0.792,0.9,0.968,0.992,0.0,,-0.33884297520661155,,-0.2148760330578512,-0.11570247933884303,-0.3925619834710743,0.23966942148760328
1,11,26,2,White,Unspecified,Trojan,Latex,Condom,Precut,,3,0,3.55,0.0,,0.7543859649122807,,0.9385964912280702,0.9692982456140351,0.9956140350877193,0.9956140350877193,0.0,,0.009708737864077666,,0.09061488673139162,0.15210355987055013,0.20064724919093846,0.04854368932038833
1,11,30,3,White,Unspecified,Trojan,Latex,Condom,Precut,,3,0,3.55,0.0,,0.7233201581027668,,0.8774703557312253,0.9762845849802372,0.9960474308300395,0.9960474308300395,0.0,,-0.0332409972299168,,0.052631578947368474,0.12188365650969524,0.17728531855955676,0.260387811634349
1,12,23,1,White,Unspecified,Lifestyle,Latex,Condom,Precut,,3,0,3.6,0.0,,0.5991902834008097,,0.8259109311740891,0.9149797570850202,0.97165991902834,0.9959514170040485,0.0,,-0.3555555555555556,,-0.2407407407407407,-0.16296296296296298,-0.07777777777777772,-0.014814814814814836
1,12,27,2,White,Unspecified,Lifestyle,Latex,Condom,Precut,,3,0,3.65,0.0,,0.7489361702127659,,0.9872340425531915,0.9957446808510638,0.9957446808510638,0.9957446808510638,0.0,,-0.07073954983922826,,0.06430868167202575,0.112540192926045,0.17041800643086813,0.25080385852090037
1,12,31,3,White,Unspecified,Lifestyle,Latex,Condom,Precut,,3,0,3.65,0.0,,0.6186440677966102,,0.8389830508474576,0.9067796610169492,0.9830508474576272,0.9957627118644068,0.0,,-0.02898550724637672,,0.02608695652173909,0.12753623188405794,0.21739130434782605,0.255072463768116
1,13,24,1,White,Unspecified,Durex,Polyisoprene,Condom,Precut,,3,0,3.55,0.0,,0.5775193798449613,,0.872093023255814,0.9767441860465116,0.9883720930232558,0.9883720930232558,0.0,,0.031152647975077885,,0.10280373831775702,0.1869158878504673,0.2679127725856698,0.3457943925233645
1,13,28,2,White,Unspecified,Durex,Polyisoprene,Condom,Precut,,3,0,3.55,0.0,,0.6129032258064516,,0.7862903225806451,0.8709677419354839,0.9516129032258065,0.9798387096774194,0.0,,-0.11610486891385774,,0.0074906367041198685,0.10861423220973787,0.22846441947565543,0.31086142322097376
1,13,32,3,White,Unspecified,Durex,Polyisoprene,Condom,Precut,,3,0,3.6,0.0,,0.5666666666666667,,0.775,0.8791666666666667,0.9666666666666667,0.9958333333333333,0.0,,-0.011267605633802802,,0.06197183098591552,0.12394366197183093,0.19154929577464785,0.23661971830985917
1,14,25,1,White,Unspecified,Skyn,Polyisoprene,Condom,Precut,,3,0,3.65,0.0,,0.6890756302521008,,0.8907563025210083,0.9789915966386554,0.9915966386554622,0.9873949579831933,0.0,,-0.06269592476489039,,0.050156739811912265,0.047021943573667735,0.06269592476489028,0.09717868338557989
1,14,29,2,White,Unspecified,Skyn,Polyisoprene,Condom,Precut,,3,0,3.75,0.0,,0.7121212121212122,,0.9318181818181819,0.9962121212121212,0.9962121212121212,0.9962121212121212,0.0,,-0.055393586005831,,0.06997084548104959,0.14868804664723034,0.22157434402332365,0.27988338192419826
1,14,33,3,White,Unspecified,Skyn,Polyisoprene,Condom,Precut,,3,0,3.6,0.0,,0.3046875,,0.6640625,0.8359375,0.9609375,0.99609375,0.0,,-0.012269938650306678,,0.039877300613496924,0.1073619631901841,0.1595092024539877,0.22699386503067487
1,15,34,1,White,None,None,None,None,None,,3,0,4.1,0.0,,0.8333333333333334,,0.96,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.0,,-2.09375,,-1.828125,-1.6796875,-1.4453125,-1.3046875
