,Day Ct,Day Num,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Spec Ang,Spec Ht,Size,Brand,Material,Material Type,Method,Opening Height,Trial Num,mmHg,Filename,Used,Notes,url,Label ID,wd,ht,wd_start,ht_start,wd_rel,ht_rel
22,1,26,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,5,160,20220423_145134.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F6957b74b-ea14-dfaf-fb6d-ce39108b58b2-20220423_145134.jpg?Expires=1662175964328&KeyName=labelbox-assets-key-3&Signature=7fA24NqXEpnxIvn3ID1ik2ilbfo,cl2cl3l795zph0zahfb0pa9v6,224.0,158.0,785.0,2076.0,0.2703583061889251,0.19387755102040816
23,1,27,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,6,200,20220423_145142.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F0f53404f-622c-ce3a-e400-ac759f4a9aaa-20220423_145142.jpg?Expires=1662175964328&KeyName=labelbox-assets-key-3&Signature=L0tztS-NWF92cT5UA-mBu2g9DMo,cl2cl49jt60e10zam3yorfawq,226.0,154.0,790.0,2074.0,0.26384364820846906,0.2142857142857143
24,1,28,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,1,0,20220423_145904.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fc37bbf48-38d6-e827-c3e3-9ef684633479-20220423_145904.jpg?Expires=1662175964328&KeyName=labelbox-assets-key-3&Signature=bzParWbVNFeJ105E0yjQs41U-Mk,cl2cl5buj64f010cdb5cy0288,302.0,32.0,957.0,2221.0,0.0,0.0
25,1,29,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,2,40,20220423_145913.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fd5e1fb35-c8d3-2b03-ed65-f1d51c2bedc3-20220423_145913.jpg?Expires=1662175964328&KeyName=labelbox-assets-key-3&Signature=tNEdOkm_ociE6eVdPNv_DG7fJjU,cl2cl5oh268040zcc9p666sp8,296.0,32.0,968.0,2215.0,0.019867549668874163,0.0
26,1,30,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,3,80,20220423_145917.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F72fbe587-c4d6-75cf-bc68-a55c6faeedac-20220423_145917.jpg?Expires=1662175964329&KeyName=labelbox-assets-key-3&Signature=sflHp1jb6URbaLkUlxVo9_RvLXI,cl2cl6luq64fp10cd5sapfsf7,281.0,41.0,986.0,2198.0,0.06953642384105962,-0.28125
27,1,31,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,4,120,20220423_145920.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fc8ca71f9-edac-3800-9f9c-39dc5371f2a3-20220423_145920.jpg?Expires=1662175964329&KeyName=labelbox-assets-key-3&Signature=J4W-ENEF_zhpi9rPOOUPnVYfJ08,cl2cl6tpt628r0zageew1e4la,255.0,38.0,989.0,2189.0,0.1556291390728477,-0.1875
28,1,32,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,5,160,20220423_145924.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F612cc526-32d4-4370-67e5-52c1c3b23f5e-20220423_145924.jpg?Expires=1662175964329&KeyName=labelbox-assets-key-3&Signature=Wyq6-wRIjW134-8dVErSEQqWO4Y,cl2cl70kl5zs70zah9v4o07tq,188.0,20.0,1021.0,2195.0,0.3774834437086093,0.375
29,1,33,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,6,200,20220423_145929.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F3b9910d1-9483-4472-fe6c-4208353ca81c-20220423_145929.jpg?Expires=1662175964329&KeyName=labelbox-assets-key-3&Signature=uAaRTaajB-d-sG8bPyMb_OHJMvA,cl2cl7als60ge0zamgv5mgxyu,188.0,18.0,1018.0,2180.0,0.3774834437086093,0.4375
30,1,34,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,1,0,20220423_150315.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F712dfefb-ca5c-25e0-6f34-7899210e120f-20220423_150315.jpg?Expires=1662175964329&KeyName=labelbox-assets-key-3&Signature=2jMLToUw_vGshFof4zAkjn1E_OQ,cl2cl7o6r681e0zccedl1dsz2,188.0,26.0,983.0,2204.0,0.0,0.0
31,1,35,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,2,40,20220423_150320.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fb8c776d2-a984-e987-ecc9-4e3c4c158920-20220423_150320.jpg?Expires=1662175964329&KeyName=labelbox-assets-key-3&Signature=hoOw4bglGaHqetes-9pm4mBqsKs,cl2cl80d7629r0zag5ph840d0,164.0,29.0,999.0,2201.0,0.12765957446808507,-0.11538461538461542
